name,query
L-Carnitine,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65
Malonyl-L-carnitine,QUERY scaninfo(MS1DATA) FILTER MS1MZ= 248.11286:TOLERANCEPPM=2.5 AND RTMIN=0.55 AND RTMAX=0.85
L-Carnitine_MS2,QUERY scaninfo(MS2DATA) FILTER MS1MZ= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65
L-Carnitine_MS2PREC,QUERY scaninfo(MS2DATA) FILTER MS2PREC= 162.11246:TOLERANCEPPM=2.5 AND RTMIN=0.35 AND RTMAX=0.65
